Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,S100A12,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingS100A12,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,S100A12,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,S100A9,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingS100A9,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,S100A9,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SCGF alpha,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSCGF alpha,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SCGF alpha,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SCGF beta,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSCGF beta,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SCGF beta,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Semaphorin-3E,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSemaphorin-3E,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Semaphorin-3E,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SERPINA3,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSERPINA3,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SERPINA3,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SHBG,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSHBG,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SHBG,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Sialoadhesin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSialoadhesin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Sialoadhesin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SKR3,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSKR3,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SKR3,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SLITRK5,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSLITRK5,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SLITRK5,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,SMPD1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingSMPD1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,SMPD1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Stanniocalcin-1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingStanniocalcin-1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Stanniocalcin-1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Testican-2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingTestican-2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Testican-2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,TGF alpha,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingTGF alpha,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,TGF alpha,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Thrombopoietin receptor,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingThrombopoietin receptor,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Thrombopoietin receptor,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Thrombospondin-2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingThrombospondin-2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Thrombospondin-2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,TNFRSF17,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingTNFRSF17,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,TNFRSF17,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,TNFRSF1B,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingTNFRSF1B,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,TNFRSF1B,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Trypsin-2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingTrypsin-2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Trypsin-2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Tryptase beta-2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingTryptase beta-2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Tryptase beta-2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,VCAM1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingVCAM1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,VCAM1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,VEGFA,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingVEGFA,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,VEGFA,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,WFIKKN2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingWFIKKN2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,WFIKKN2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,ADAMTS,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingADAMTS,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,ADAMTS,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Adiponectin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingAdiponectin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Adiponectin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Capper (2018) - DNA methylation-based classification of,Clinico-pathological and epigenetic heterogeneity of diffuse gliomas with FGFR3::TACC3 fusion,2023,Validated MPS algorithm,,Cancer,Glioma,Tumour cells,EPICv1,Not reported,Childhood and adolescence,Not reported,Capper (2018) - DNA methylation-based classification ofGlioma,Capper (2018) - DNA methylation-based classification of,Cancer,Glioma,Tumour cells,450K,Not reported,Childhood and adolescence,batch
Kupers (2019) - Meta-analysis of epigenome-wide,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,Birth weight,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Kupers (2019) - Meta-analysis of epigenome-wideBirth weight,Kupers (2019) - Meta-analysis of epigenome-wide,Physical health indicator,Birth weight,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,Birth,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Kupers (2019) - Meta-analysis of epigenome-wide,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,Birth weight,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Kupers (2019) - Meta-analysis of epigenome-wideBirth weight,Kupers (2019) - Meta-analysis of epigenome-wide,Physical health indicator,Birth weight,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,Birth,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Kupers (2019) - Meta-analysis of epigenome-wide,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,Birth weight,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Kupers (2019) - Meta-analysis of epigenome-wideBirth weight,Kupers (2019) - Meta-analysis of epigenome-wide,Physical health indicator,Birth weight,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,Birth,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Kupers (2019) - Meta-analysis of epigenome-wide,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,Birth weight,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Kupers (2019) - Meta-analysis of epigenome-wideBirth weight,Kupers (2019) - Meta-analysis of epigenome-wide,Physical health indicator,Birth weight,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,Birth,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Kupers (2019) - Meta-analysis of epigenome-wide,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,Birth weight,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Kupers (2019) - Meta-analysis of epigenome-wideBirth weight,Kupers (2019) - Meta-analysis of epigenome-wide,Physical health indicator,Birth weight,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,Birth,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Kupers (2019) - Meta-analysis of epigenome-wide,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,Birth weight,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Kupers (2019) - Meta-analysis of epigenome-wideBirth weight,Kupers (2019) - Meta-analysis of epigenome-wide,Physical health indicator,Birth weight,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,Birth,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Wahl (2019) - Epigenome-wide association study of,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,BMI,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Wahl (2019) - Epigenome-wide association study ofBMI,Wahl (2019) - Epigenome-wide association study of,Physical health indicator,BMI,Whole blood,450K,Mixed,Adults,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Wahl (2019) - Epigenome-wide association study of,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,BMI,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Wahl (2019) - Epigenome-wide association study ofBMI,Wahl (2019) - Epigenome-wide association study of,Physical health indicator,BMI,Whole blood,450K,Mixed,Adults,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Wahl (2019) - Epigenome-wide association study of,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,BMI,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Wahl (2019) - Epigenome-wide association study ofBMI,Wahl (2019) - Epigenome-wide association study of,Physical health indicator,BMI,Whole blood,450K,Mixed,Adults,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Wahl (2019) - Epigenome-wide association study of,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,BMI,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Wahl (2019) - Epigenome-wide association study ofBMI,Wahl (2019) - Epigenome-wide association study of,Physical health indicator,BMI,Whole blood,450K,Mixed,Adults,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Wahl (2019) - Epigenome-wide association study of,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,BMI,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Wahl (2019) - Epigenome-wide association study ofBMI,Wahl (2019) - Epigenome-wide association study of,Physical health indicator,BMI,Whole blood,450K,Mixed,Adults,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Wahl (2019) - Epigenome-wide association study of,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Physical health indicators,BMI,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Wahl (2019) - Epigenome-wide association study ofBMI,Wahl (2019) - Epigenome-wide association study of,Physical health indicator,BMI,Whole blood,450K,Mixed,Adults,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Sikdar (2019) - Comparison of smoking-related DNA,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2021,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Buccal cells,EPICv1,European,Mid childhood,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Ligthart (2016) - DNA methylation signatures of chronic,Associations of DNA-Methylation Measures of Biological Aging With Social Disparities in Child and Adolescent Mental Health,2023,Validated MPS algorithm,No,Biological markers,C-reactive protein,Saliva,EPICv1,Mixed,Late childhood,"All methylation scores were residualized for technical covariates (array, slide, batch, cell composition); when used in model: age, gender, and an Age × Gender, BMI, pubertal status, DNAm smoke, family disadvantage",Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Joehanes (2016) - Epigenetic Signatures of Cigarette Smoking,Associations of DNA-Methylation Measures of Biological Aging With Social Disparities in Child and Adolescent Mental Health,2023,EWAS summary statistics,,Lifestyle and environment,Smoking,Saliva,EPICv1,Mixed,Late childhood,"All methylation scores were residualized for technical covariates (array, slide, batch, cell composition); When used in model: Is covariate itself",Joehanes (2016) - Epigenetic Signatures of Cigarette SmokingSmoking,Joehanes (2016) - Epigenetic Signatures of Cigarette Smoking,Lifestyle and environment ,Smoking,Whole blood,450K,Mixed,Adults,"sex age blood count, technical covariates"
Richmond (2018) - DNA methylation as a marker,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,2020,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking (older children),Peripheral blood,450K,White,Adolescence,Not reported,Richmond (2018) - DNA methylation as a markerMaternal smoking (older children),Richmond (2018) - DNA methylation as a marker,Lifestyle and environment ,Maternal smoking (older children),Peripheral blood,450K,European,Adults,"Maternal age at birth and head of household social class, SVs"
Reese (2017) - DNA Methylation Score as a,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,2020,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Peripheral blood,450K,White,Adolescence,Not reported,Reese (2017) - DNA Methylation Score as aMaternal smoking,Reese (2017) - DNA Methylation Score as a,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
Richmond (2018) - DNA methylation as a marker,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,2020,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking (older children),Peripheral blood,450K,White,Adolescence,Not reported,Richmond (2018) - DNA methylation as a markerMaternal smoking (older children),Richmond (2018) - DNA methylation as a marker,Lifestyle and environment ,Maternal smoking (older children),Peripheral blood,450K,European,Adults,"Maternal age at birth and head of household social class, SVs"
Mendelson (2017) - Association of Body Mass Index,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,2020,EWAS summary statistics,No,Lifestyle and environment,BMI,Peripheral blood,450K,European,Adolescence,"age (except at birth), sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).",Mendelson (2017) - Association of Body Mass IndexBMI,Mendelson (2017) - Association of Body Mass Index,Physical health indicator,BMI,Whole blood,450K,White,Adults,"age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects"
