Author,Year,Title,Journal,DOI,n MPSs,Phenotype(s),Category,n CpGs,Based on,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Rauschert et al.,2020.0,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,Environ Health Perspect,10.1289/ehp6076,7.0,"Multiple (Maternal smoking, Maternal smoking (newborns), Maternal smoking (older children))",Lifestyle and environment,"Multiple (204.0, 1511.0, 28.0, 568.0, 19.0)","Multiple (Raw individual-level data, Pre-established MPS)",Population-based,995.0,Adolescence,Peripheral blood,450K,White,"['Rauschert, S.', 'Melton, P. E.', 'Heiskala, A.', 'Karhunen, V.', 'Burdge, G.', 'Craig, J. M.', 'Godfrey, K. M.', 'Lillycrop, K.', 'Mori, T. A.', 'Beilin, L. J.', 'Oddy, W. H.', 'Pennell, C.', 'Jarvelin, M. R.', 'Sebert, S.', 'Huang, R. C.']",2020-09-03
Suleri et al.,2024.0,Mapping prenatal predictors and neurobehavioral outcomes of an epigenetic marker of neonatal inflammation - A longitudinal population-based study,Brain Behav Immun,10.1016/j.bbi.2024.08.053,2.0,C-reactive protein,Biological markers,"Multiple (7.0, 1511.0)",Pre-established MPS,Population-based,2394.0,Birth,Cord blood,"Multiple (450K, EPICv1)",White,"['Suleri, A.', 'Creasey, N.', 'Walton, E.', 'Muetzel, R.', 'Felix, J. F.', 'Duijts, L.', 'Bergink, V.', 'Cecil, C. A. M.']",2024-11-03
Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,Transl Psychiatry,10.1038/s41398-022-01954-6,9.0,"Multiple (Externalizing behavior, Internalizing behavior, Total problem behavior)",Neuro-psychiatric health indicators,,Raw individual-level data,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,eLife,10.7554/eLife.93260,8.0,"Multiple (PM (air polution), Maternal smoking, Maternal smoking (newborns))",Lifestyle and environment,"Multiple (3.0, 2620.0, 15.0, 63.0, 143.0, 204.0, 28.0, 568.0)","Multiple (Published summary statistics (semi-supervised), Pre-established MPS)",Population-based,"Multiple (744.0, 1247.0)",Birth,Cord blood,"Multiple (Multiple (450K, GMEL (~3000 CpGs from EPICv1)), 450K)",European,"['Deng, Wei Q.', 'Cawte, Nathan', 'Campbell, Natalie', 'Azab, Sandi M.', 'de Souza, Russell J.', 'Lamri, Amel', 'Morrison, Katherine M.', 'Atkinson, Stephanie A.', 'Subbarao, Padmaja', 'Turvey, Stuart E.', 'Moraes, Theo J.', 'Teo, Koon K.', 'Mandhane, Piush J.', 'Azad, Meghan B.', 'Simons, Elinor', 'Paré, Guillaume', 'Anand, Sonia S.']",2024-08-14
Massimino et al.,2021.0,Medulloblastoma and familial adenomatous polyposis: Good prognosis and good quality of life in the long-term?,Pediatr Blood Cancer,10.1002/pbc.28912,1.0,Medulloblastoma (MBL) wingless-related integration site (WNT) subtype,Cancer,,Pre-established MPS,Cohort study,4.0,Childhood,Tumour cells,EPICv1,Not reported,"['Massimino, M.', 'Signoroni, S.', 'Boschetti, L.', 'Chiapparini, L.', 'Erbetta, A.', 'Biassoni, V.', 'Schiavello, E.', 'Ferrari, A.', 'Spreafico, F.', 'Terenziani, M.', 'Chiaravalli, S.', 'Puma, N.', 'Bergamaschi, L.', 'Ricci, M. T.', 'Cattaneo, L.', 'Gattuso, G.', 'Buttarelli, F. R.', 'Gianno, F.', 'Miele, E.', 'Poggi, G.', 'Vitellaro, M.']",2021-02-09
Haghshenas et al.,2024.0,Menke-Hennekam syndrome; delineation of domain-specific subtypes with distinct clinical and DNA methylation profiles,HGG Adv,10.1016/j.xhgg.2024.100287,1.0,Menke-Hennekam syndrome 4 (MKHK),Genetic syndromes,104.0,Raw individual-level data,Case control,84.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Haghshenas, S.', 'Bout, H. J.', 'Schijns, J. M.', 'Levy, M. A.', 'Kerkhof, J.', 'Bhai, P.', 'McConkey, H.', 'Jenkins, Z. A.', 'Williams, E. M.', 'Halliday, B. J.', 'Huisman, S. A.', 'Lauffer, P.', 'de Waard, V.', 'Witteveen, L.', 'Banka, S.', 'Brady, A. F.', 'Galazzi, E.', 'van Gils, J.', 'Hurst, A. C. E.', 'Kaiser, F. J.', 'Lacombe, D.', 'Martinez-Monseny, A. F.', 'Fergelot, P.', 'Monteiro, F. P.', 'Parenti, I.', 'Persani, L.', 'Santos-Simarro, F.', 'Simpson, B. N.', 'Alders, M.', 'Robertson, S. P.', 'Sadikovic, B.', 'Menke, L. A.']",2024-07-18
Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,Eur Neuropsychopharmacol,10.1016/j.euroneuro.2025.02.003,14.0,"Multiple (Maternal age at conception, Pre-pregnancy overweight, Maternal smoking, Gestational diabetes, Hypertensive disorders of pregnancy, Pre-eclampsia, Birth weight, Early preterm birth, Abuse, Neglect, Abuse and neglect, Current smoking, Lifetime smoking, Lifetime cannabis)","Multiple (Lifestyle and environment, Physical health indicators)","Multiple (9.0, 4037.0, 845.0, 277.0, 1075.0, 542.0, 50879.0, 273.0, 36.0, 21.0, 16015.0, 2203.0, 659.0)",Published summary statistics (semi-supervised),Cohort study,91.0,Adolescence,Blood,EPICv1,White,"['Segura, A. G.', 'Prohens, L.', 'Julia, L.', 'Amoretti, S.', 'M, R. Ibero', 'Pino-Camacho, L.', 'Cano-Escalera, G.', 'Mane, A.', 'Rodriguez-Jimenez, R.', 'Roldan, A.', 'Sarro, S.', 'Ibanez, A.', 'Usall, J.', 'Lobo, A.', 'Garcia-Rizo, C.', 'Cuesta, M. J.', 'Parellada, M.', 'Gonzalez-Pinto, A.', 'Berrocoso, E.', 'Bernardo, M.', 'Mas, S.', 'Rodriguez, N.', 'Perez-Ramos, A.', 'Salmeron, S.', 'Gonzalez-Penas, J.', 'Gurriaran, X.', 'Farre, A.', 'Pousa, E.', 'Zorrilla, I.', 'Mar-Barrutia, L.', 'Trabsa, A.', 'Martinez, L.', 'Sanchez-Cabezudo, A.', 'Jimenez-Lopez, E.', 'Pomarol-Clotet, E.', 'Salvador, R.', 'Butjosa, A.', 'Elena, R. A.', 'Moreno-Izco, L.', 'Torres, A. M. S.', 'Saiz, J.', 'Leon-Quismondo, L.', 'Rivero, O.', 'Gonzalez-Blanco, L.', 'De-la-Camara, C.']",2025-05-03
Lariviere et al.,2024.0,Methylation profiles at birth linked to early childhood obesity,J Dev Orig Health Dis,10.1017/s2040174424000060,4.0,"Multiple (BMI, Conditional weight gain, Weight for length)","Multiple (Physical health indicators, Lifestyle and environment)","Multiple (4.0, 10.0, 8.0, 31.0)",Raw individual-level data,Convenience sample,48.0,Birth,"Multiple (Cord blood, Placenta)",EPICv1,White,"['Lariviere, D.', 'Craig, S. J. C.', 'Paul, I. M.', 'Hohman, E. E.', 'Savage, J. S.', 'Wright, R. O.', 'Chiaromonte, F.', 'Makova, K. D.', 'Reimherr, M. L.']",2024-04-25
Kilanowski et al.,2022.0,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,Allergy,10.1111/all.15315,14.0,"Multiple (Atopic status, Schizophrenia , Allergy, Asthma)","Multiple (Physical health indicators, Neuro-psychiatric health indicators)","Multiple (3.0, 2.0, 867.0, 5.0, 9.0, 18.0, 24.0)",Published summary statistics (semi-supervised),Population-based,"Multiple (227.0, 234.0)","Multiple (Late childhood, Mid childhood)",Blood-clots,EPICv1,European,"['Kilanowski, A.', 'Chen, J.', 'Everson, T.', 'Thiering, E.', 'Wilson, R.', 'Gladish, N.', 'Waldenberger, M.', 'Zhang, H.', 'Celedon, J. C.', 'Burchard, E. G.', 'Peters, A.', 'Standl, M.', 'Huls, A.']",2022-09-03
van der Sluijs et al.,2025.0,Microduplications of ARID1A and ARID1B cause a novel clinical and epigenetic distinct BAFopathy,Genet Med,10.1016/j.gim.2024.101283,2.0,"Multiple (ARID1A syndrome, ARID1B syndrome)",Genetic syndromes,"Multiple (200.0, 219.0)",Raw individual-level data,Case control,"Multiple (14.0, 16.0)",Childhood,Whole blood,EPICv1,Not reported,"['van der Sluijs, P. J.', 'Moutton, S.', 'Dingemans, A. J. M.', 'Weis, D.', 'Levy, M. A.', 'Boycott, K. M.', 'Arberas, C.', 'Baldassarri, M.', 'Beneteau, C.', 'Brusco, A.', 'Coutton, C.', 'Dabir, T.', 'Dentici, M. L.', 'Devriendt, K.', 'Faivre, L.', 'van Haelst, M. M.', 'Jizi, K.', 'Kempers, M. J.', 'Kerkhof, J.', 'Kharbanda, M.', 'Lachlan, K.', 'Marle, N.', 'McConkey, H.', 'Mencarelli, M. A.', 'Mowat, D.', 'Niceta, M.', 'Nicolas, C.', 'Novelli, A.', 'Orlando, V.', 'Pichon, O.', 'Rankin, J.', 'Relator, R.', 'Ropers, F. G.', 'Rosenfeld, J. A.', 'Sachdev, R.', 'Sandaradura, S. A.', 'Shukarova-Angelovska, E.', 'Steenbeek, D.', 'Tartaglia, M.', 'Tedder, M. A.', 'Trajkova, S.', 'Winer, N.', 'Woods, J.', 'de Vries, B. B. A.', 'Sadikovic, B.', 'Alders, M.', 'Santen, G. W. E.']",2025-01-03
van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,Nat Commun,10.1038/s41467-022-35088-6,6.0,Allergy,Physical health indicators,"Multiple (3.0, nan)",Published summary statistics (semi-supervised),Population-based,"Multiple (1291.0, 1292.0, 1293.0, 1294.0, 1295.0, 1296.0)",Adolescence,Nasal epithelial cells,450K,Mixed,"['van Breugel, M.', 'Qi, C.', 'Xu, Z.', 'Pedersen, C. T.', 'Petoukhov, I.', 'Vonk, J. M.', 'Gehring, U.', 'Berg, M.', 'Bugel, M.', 'Carpaij, O. A.', 'Forno, E.', 'Morin, A.', 'Eliasen, A. U.', 'Jiang, Y.', 'van den Berge, M.', 'Nawijn, M. C.', 'Li, Y.', 'Chen, W.', 'Bont, L. J.', 'Bonnelykke, K.', 'Celedon, J. C.', 'Koppelman, G. H.', 'Xu, C. J.']",2022-12-01
Levy et al.,2022.0,Novel diagnostic DNA methylation episignatures expand and refine the epigenetic landscapes of Mendelian disorders,Human Genetics and Genomics Advances,10.1016/j.xhgg.2021.100075,19.0,"Multiple (16p11.2 deletion syndrome, 22q11.2 deletion syndrome, Arboleda-Tham syndrome, BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2), BAFopathy syndrome: Coffin-Siris 4 (CSS4), BAFopathy syndrome: Coffin-Siris 9 (CSS9), Beck-Fahrner syndrome, Dystonia 28 (DYT28), Gabriele-de Vries syndrome (GADEVS), Intellectual developmental disorder, X-linked syndromic, Armfield type (MRXSA), KDM2B-related neurodevelopmental disorder, KDM4B-related neurodevelopmental disorder, Luscan-Lumish syndrome (LLS), Menke-Hennekam syndrome 4 (MKHK), Myopathy, lactic acidosis, and sideroblastic anemia 2 (MLASA2)	, Phelan–McDermid syndrome (PHMDS), Renpenning syndrome (RENS1), Rubinstein-Taybi syndrome 1 (RSTS1), Rubinstein-Taybi syndrome 2 (RSTS2))",Genetic syndromes,"Multiple (166.0, 500.0, 115.0, 306.0, 491.0, 127.0, 413.0, 450.0, 534.0, 400.0, 329.0, 260.0, 112.0)",Raw individual-level data,Case control,"Multiple (72.0, 66.0, 44.0, 33.0, 60.0, 80.0, 63.0, 65.0, 64.0, 111.0, 87.0)",Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Levy, Michael A.', 'McConkey, Haley', 'Kerkhof, Jennifer', 'Barat-Houari, Mouna', 'Bargiacchi, Sara', 'Biamino, Elisa', 'Bralo, María Palomares', 'Cappuccio, Gerarda', 'Ciolfi, Andrea', 'Clarke, Angus', 'DuPont, Barbara R.', 'Elting, Mariet W.', 'Faivre, Laurence', 'Fee, Timothy', 'Fletcher, Robin S.', 'Cherik, Florian', 'Foroutan, Aidin', 'Friez, Michael J.', 'Gervasini, Cristina', 'Haghshenas, Sadegheh', 'Hilton, Benjamin A.', 'Jenkins, Zandra', 'Kaur, Simranpreet', 'Lewis, Suzanne', 'Louie, Raymond J.', 'Maitz, Silvia', 'Milani, Donatella', 'Morgan, Angela T.', 'Oegema, Renske', 'Østergaard, Elsebet', 'Pallares, Nathalie Ruiz', 'Piccione, Maria', 'Pizzi, Simone', 'Plomp, Astrid S.', 'Poulton, Cathryn', 'Reilly, Jack', 'Relator, Raissa', 'Rius, Rocio', 'Robertson, Stephen', 'Rooney, Kathleen', 'Rousseau, Justine', 'Santen, Gijs W. E.', 'Santos-Simarro, Fernando', 'Schijns, Josephine', 'Squeo, Gabriella Maria', 'St John, Miya', 'Thauvin-Robinet, Christel', 'Traficante, Giovanna', 'van der Sluijs, Pleuntje J.', 'Vergano, Samantha A.', 'Vos, Niels', 'Walden, Kellie K.', 'Azmanov, Dimitar', 'Balci, Tugce', 'Banka, Siddharth', 'Gecz, Jozef', 'Henneman, Peter', 'Lee, Jennifer A.', 'Mannens, Marcel M. A. M.', 'Roscioli, Tony', 'Siu, Victoria', 'Amor, David J.', 'Baynam, Gareth', 'Bend, Eric G.', 'Boycott, Kym', 'Brunetti-Pierri, Nicola', 'Campeau, Philippe M.', 'Christodoulou, John', 'Dyment, David', 'Esber, Natacha', 'Fahrner, Jill A.', 'Fleming, Mark D.', 'Genevieve, David', 'Kerrnohan, Kristin D.', 'McNeill, Alisdair', 'Menke, Leonie A.', 'Merla, Giuseppe', 'Prontera, Paolo', 'Rockman-Greenberg, Cheryl', 'Schwartz, Charles', 'Skinner, Steven A.', 'Stevenson, Roger E.', 'Vitobello, Antonio', 'Tartaglia, Marco', 'Alders, Marielle', 'Tedder, Matthew L.', 'Sadikovic, Bekim']",2022-01-13
Colin et al.,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,Front. cell dev. biol.,10.3389/fcell.2022.1021785,5.0,"Multiple (BAFopathy syndrome: no subtype specified, Kabuki syndrome, Rubinstein-Taybi syndrome (RSTS), Velocardiofacial syndrome (VCFS), Wolf-Hirschhorn syndrome (WHS))",Genetic syndromes,,Pre-established MPS,Cohort study,30.0,Childhood and adolescence,Whole blood,"Multiple (Multiple (450K, EPICv1), Multiple (450K, EPICv2))",Not reported,"['Colin, E.', 'Duffourd, Y.', 'Tisserant, E.', 'Relator, R.', 'Bruel, A. L.', 'Tran Mau-Them, F.', 'Denomme-Pichon, A. S.', 'Safraou, H.', 'Delanne, J.', 'Jean-Marcais, N.', 'Keren, B.', 'Isidor, B.', 'Vincent, M.', 'Mignot, C.', 'Heron, D.', 'Afenjar, A.', 'Heide, S.', 'Faudet, A.', 'Charles, P.', 'Odent, S.', 'Herenger, Y.', 'Sorlin, A.', 'Moutton, S.', 'Kerkhof, J.', 'McConkey, H.', 'Chevarin, M.', 'Poe, C.', 'Couturier, V.', 'Bourgeois, V.', 'Callier, P.', 'Boland, A.', 'Olaso, R.', 'Philippe, C.', 'Sadikovic, B.', 'Thauvin-Robinet, C.', 'Faivre, L.', 'Deleuze, J. F.', 'Vitobello, A.']",2022-10-28
Salgado et al.,2023.0,Pediatric BCOR-Altered Tumors From Soft Tissue/Kidney Display Specific DNA Methylation Profiles,Mod Pathol,10.1016/j.modpat.2022.100039,1.0,Brain tumour,Cancer,,Pre-established MPS,Cohort study,34.0,Childhood,Tumour cells,EPICv1,Not reported,"['Salgado, C. M.', 'Alaggio, R.', 'Ciolfi, A.', 'Zin, A.', 'Camassei, F. D.', 'Pedace, L.', 'Milano, G. M.', 'Serra, A.', 'Di Giannatale, A.', 'Mastronuzzi, A.', 'Gianatti, A.', 'Bisogno, G.', 'Ferrari, A.', 'Tartaglia, M.', 'Reyes-Múgica, M.', 'Locatelli, F.', 'Miele, E.']",2023-02-03
Schenkel et al.,2018.0,Peripheral blood epi-signature of Claes-Jensen syndrome enables sensitive and specific identification of patients and healthy carriers with pathogenic mutations in KDM5C,Clin Epigenetics,10.1186/s13148-018-0453-8,1.0,Claes-Jensen syndrome,Genetic syndromes,198.0,Raw individual-level data,Case control,543.0,Childhood and adolescence,Peripheral blood,450K,Not reported,"['Schenkel, L. C.', 'Aref-Eshghi, E.', 'Skinner, C.', 'Ainsworth, P.', 'Lin, H.', 'Paré, G.', 'Rodenhiser, D. I.', 'Schwartz, C.', 'Sadikovic, B.']",2018-02-21
Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,Epigenetics,10.1080/15592294.2022.2112815,8.0,"Multiple (Maternal smoking, Maternal smoking (newborns))",Lifestyle and environment,"Multiple (6073.0, 204.0, 19.0, 568.0)","Multiple (Published summary statistics (semi-supervised), Pre-established MPS)",Population-based,"Multiple (747.0, 753.0)","Multiple (Adolescence, Mid childhood)",Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-03
Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,Front Psychiatr,10.3389/fpsyt.2021.688464,18.0,"Multiple (Birth weight, Maternal smoking, BMI)","Multiple (Physical health indicators, Lifestyle and environment)","Multiple (72205.0, 184.0, 2249.0, 13.0, 958.0, 9.0, 76146.0, 187.0, 1571.0, 16.0, 606.0, 55279.0, 183.0, 1079.0, 422.0, 6.0)",Published summary statistics (semi-supervised),Twin study,"Multiple (1070.0, 547.0, 1072.0)",Mid childhood,Buccal cells,EPICv1,European,"['Odintsova, V. V.', 'Rebattu, V.', 'Hagenbeek, F. A.', 'Pool, R.', 'Beck, J. J.', 'Ehli, E. A.', 'van Beijsterveldt, C. E. M.', 'Ligthart, L.', 'Willemsen, G.', 'de Geus, E. J. C.', 'Hottenga, J. J.', 'Boomsma, D. I.', 'van Dongen, J.']",2021-07-29
Bakulski et al.,2021.0,Prenatal Particulate Matter Exposure Is Associated with Saliva DNA Methylation at Age 15: Applying Cumulative DNA Methylation Scores as an Exposure Biomarker,Toxics,10.3390/toxics9100262,4.0,"Multiple (PM10, PM2.5)",Lifestyle and environment,"Multiple (6.0, 14.0)",Raw individual-level data,Population-based,"Multiple (793.0, 749.0)","Multiple (Adolescence, Mid childhood)",Saliva,450K,Mixed,"['Bakulski, K. M.', 'Fisher, J. D.', 'Dou, J. F.', 'Gard, A.', 'Schneper, L.', 'Notterman, D. A.', 'Ware, E. B.', 'Mitchell, C.']",2021-10-13
Suleri et al.,2024.0,"Prenatal exposure to common infections and newborn DNA methylation: A prospective, population-based study",Brain Behav Immun,10.1016/j.bbi.2024.07.046,4.0,"Multiple (Prenatal infections across all trimesters, Prenatal infections trimester 1, Prenatal infections trimester 2, Prenatal infections trimester 3)",Biological markers,"Multiple (30.0, 20.0, 24.0, 26.0)",Raw individual-level data,Population-based,2367.0,Birth,Cord blood,"Multiple (450K, EPICv1)",White,"['Suleri, A.', 'Salontaji, K.', 'Luo, M.', 'Neumann, A.', 'Mulder, R. H.', 'Tiemeier, H.', 'Felix, J. F.', 'Marioni, R. E.', 'Bergink, V.', 'Cecil, C. A. M.']",2024-10-03
Creasey et al.,2025.0,"Prenatal stress, epigenetically-assessed glucocorticoid exposure at birth, and child psychiatric symptoms: A prospective, multi-cohort study",Psychoneuroendocrinology,10.1016/j.psyneuen.2025.107388,1.0,Glucocorticoid ,Lifestyle and environment,24.0,Pre-established MPS,Population-based,6086.0,Birth,Cord blood,"Multiple (450K, EPICv1)",European,"['Creasey, N.', 'Schuurmans, I.', 'Tsotsi, S.', 'Defina, S.', 'Baltramonaityte, V.', 'Felix, J. F.', 'Neumann, A.', 'Page, C. M.', 'Tollenaar, M.', 'Bekkhus, M.', 'Walton, E.', 'Cecil, C.']",2025-05-03
Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,Epigenetics,10.1080/15592294.2023.2187172,6.0,"Multiple (Maternal smoking, Maternal smoking (newborns), Maternal smoking (older children))",Lifestyle and environment,"Multiple (28.0, 568.0, 19.0, 21.0, 198.0, 344.0)","Multiple (Pre-established MPS, Published summary statistics (semi-supervised))",Population-based,260.0,Birth,Cord blood,EPICv1,Mixed,"['Chen, J. Y.', 'Gatev, E.', 'Everson, T.', 'Conneely, K. N.', 'Koen, N.', 'Epstein, M. P.', 'Kobor, M. S.', 'Zar, H. J.', 'Stein, D. J.', 'Huels, A.']",2023-12-03
Simon et al.,2024.0,Rapid DNA methylation-based classification of pediatric brain tumors from ultrasonic aspirate specimens,J Neuro-Oncol,10.1007/s11060-024-04702-6,2.0,Brain tumour,Cancer,,"Multiple (Pre-established MPS, Raw individual-level data)",Cohort study,"Multiple (19.0, 2801.0)",Childhood and adolescence,Tumour cells,"Multiple (EPICv1, Nanopore sequencing)",Not reported,"['Simon, M.', 'Kuschel, L. P.', 'von Hoff, K.', 'Yuan, D.', 'Hernáiz Driever, P.', 'Hain, E. G.', 'Koch, A.', 'Capper, D.', 'Schulz, M.', 'Thomale, U. W.', 'Euskirchen, P.']",2024-08-03
Shi et al.,2024.0,Rare Pediatric Cerebellar High-Grade Gliomas Mimic Medulloblastomas Histologically and Transcriptomically and Show p53 Mutations,Cancers,10.3390/cancers16010232,1.0,Brain tumour,Cancer,,Pre-established MPS,Cohort study,5.0,Mid childhood,Tumour cells,EPICv1,Not reported,"['Shi, Z. F.', 'Li, K. K. W.', 'Liu, A. P. Y.', 'Chung, N. Y. F.', 'Chow, C.', 'Chen, H.', 'Kan, N. C. A.', 'Zhu, X. L.', 'Chan, D. T. M.', 'Mao, Y.', 'Ng, H. K.']",2024-01-03
LaFlamme et al.,2025.0,SCN1A pathogenic variants do not have a distinctive blood-derived DNA methylation signature,Epilepsia,10.1111/epi.18315,4.0,"Multiple (Dravet syndrome, SCN1A nonsense syndrome, SCN1A missense syndrome, SCN1A EIDEE syndrome)",Genetic syndromes,"Multiple (234.0, 257.0, 235.0, 226.0)",Raw individual-level data,Case control,"Multiple (128.0, 84.0, 92.0, 63.0)",Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['LaFlamme, C. W.', 'Karimi, K.', 'Rastin, C.', 'Almanza Fuerte, E. P.', 'Allan, T.', 'Russ-Hall, S. J.', 'Schneider, A. L.', 'Stobo, D.', 'Lesca, G.', 'Symonds, J. D.', 'Brunklaus, A.', 'Sadleir, L. G.', 'Scheffer, I. E.', 'Sadikovic, B.', 'Mefford, H. C.']",2025-04-03
Al-Jawahiri et al.,2022.0,SOX11 variants cause a neurodevelopmental disorder with infrequent ocular malformations and hypogonadotropic hypogonadism and with distinct DNA methylation profile,Gen Med,10.1016/j.gim.2022.02.013,1.0,SOX11 syndrome,Genetic syndromes,224.0,Raw individual-level data,Case control,126.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Al-Jawahiri, R.', 'Foroutan, A.', 'Kerkhof, J.', 'McConkey, H.', 'Levy, M.', 'Haghshenas, S.', 'Rooney, K.', 'Turner, J.', 'Shears, D.', 'Holder, M.', 'Lefroy, H.', 'Castle, B.', 'Reis, L. M.', 'Semina, E. V.', 'Nickerson, D.', 'Bamshad, M.', 'Leal, S.', 'Lachlan, K.', 'Chandler, K.', 'Wright, T.', 'Clayton-Smith, J.', 'Hug, F. P.', 'Pitteloud, N.', 'Bartoloni, L.', 'Hoffjan, S.', 'Park, S. M.', 'Thankamony, A.', 'Lees, M.', 'Wakeling, E.', 'Naik, S.', 'Hanker, B.', 'Girisha, K. M.', 'Agolini, E.', 'Giuseppe, Z.', 'Alban, Z.', 'Tessarech, M.', 'Keren, B.', 'Afenjar, A.', 'Zweier, C.', 'Reis, A.', 'Smol, T.', 'Tsurusaki, Y.', 'Nobuhiko, O.', 'Sekiguchi, F.', 'Tsuchida, N.', 'Matsumoto, N.', 'Kou, I.', 'Yonezawa, Y.', 'Ikegawa, S.', 'Callewaert, B.', 'Freeth, M.', 'Ambrose, J. C.', 'Arumugam, P.', 'Bevers, R.', 'Bleda, M.', 'Boardman-Pretty, F.', 'Boustred, C. R.', 'Brittain, H.', 'Caulfield, M. J.', 'Chan, G. C.', 'Elgar, G.', 'Fowler, T.', 'Giess, A.', 'Hamblin, A.', 'Henderson, S.', 'Hubbard, T. J. P.', 'Jackson, R.', 'Jones, L. J.', 'Kasperaviciute, D.', 'Kayikci, M.', 'Kousathanas, A.', 'Lahnstein, L.', 'Leigh, S. E. A.', 'Leong, I. U. S.', 'Lopez, J. F.', 'FionaMaleady, Crowe', 'McEntagart, M.', 'Minneci, F.', 'Moutsianas, L.', 'Mueller, M.', 'Murugaesu, N.', 'Need, A. C.', ""O'Donovan, P."", 'Odhams, C. A.', 'Patch, C.', 'Pereira, M. B.', 'Perez-Gil, D.', 'Pullinger, J.', 'TahrimaRahim', 'Rendon, A.', 'TimRogers', 'Savage, K.', 'Sawant, K.', 'Scott, R. H.', 'Siddiq, A.', 'Sieghart, A.', 'Smith, S. C.', 'Sosinsky, A.', 'Stuckey, A.', 'Tanguy, M.', 'Taylor Tavares, A. L.', 'Thomas, E. R. A.', 'Thompson, S. R.', 'Tucci, A.', 'Welland, M. J.', 'Williams, E.', 'Witkowska, K.', 'Wood, S. M.', 'Kleinendorst, L.', 'Donaldson, A.', 'Alders, M.', 'De Paepe, A.', 'Sadikovic, B.', 'McNeill, A.']",2022-04-05
