Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
C. Nava; B. Cogne; A. Santini; E. Leitao; F. Lecoquierre; Y. Chen; S. L. Stenton; T. Besnard; S. Heide; S. Baer; A. Jakhar; S. Neuser; B. Keren; A. Faudet; S. Forlani; M. Faoucher; K. Uguen; K. Platzer; A. Afenjar; J. L. Alessandri; S. Andres; C. Angelini; B. Aral; B. Arveiler; T. Attie-Bitach; M. Aubert Mucca; G. Banneau; T. S. Barakat; G. Barcia; S. Baulac; C. Beneteau; F. Benkerdou; V. Bernard; S. Bezieau; D. Bonneau; M. N. Bonnet-Dupeyron; S. Boussion; O. Boute; E. Brischoux-Boucher; S. J. Bryen; J. Buratti; T. Busa; A. Caliebe; Y. Capri; K. Cassinari; R. Caumes; C. Cenni; P. Chambon; P. Charles; J. Christodoulou; C. Colson; S. Conrad; A. Cospain; J. Coursimault; T. Courtin; M. Couse; C. Coutton; I. Creveaux; A. M. D'Gama; B. Dauriat; J. M. de Sainte Agathe; G. Del Gobbo; A. Delahaye-Duriez; J. Delanne; A. S. Denomme-Pichon; A. Dieux-Coeslier; L. Do Souto Ferreira; M. Doco-Fenzy; S. Drukewitz; V. Duboc; C. Dubourg; Y. Duffourd; D. Dyment; S. El Chehadeh; M. Elmaleh; L. Faivre; S. Fennelly; H. Fischer; M. Fradin; C. Galludec Vaillant; B. Ganne; J. Ghoumid; H. Goel; Z. Gokce-Samar; A. Goldenberg; R. Gonfreville Robert; S. Gorokhova; L. Goujon; V. Granier; M. Gras; J. M. Greally; B. Greiten; P. Gueguen; A. M. Guerrot; S. Guha; A. Guimier; T. B. Haack; H. Hadj Abdallah; Y. Halleb; R. Harbuz; et al.,2025.0,Dominant variants in major spliceosome U4 and U5 small nuclear RNA genes cause neurodevelopmental disorders through splicing disruption,,ReNU syndrome,Genetic syndromes,1.0,147.0,Raw (individual-level) data,80.0,35.0,45.0,Case control,Mid childhood,Whole blood,EPICv2,Not reported,Journal Article,Nat Genet,Association DNAm phenotype | P-value | p < 1e-7,Association DNAm phenotype | Actual change in methylation | > 5%,,,,Machine learning | Support vector machine,5-fold cross-validation,No,"Reported |  0.91 (31/35, 95% binomial confidence interval (CI; 0.77-0.98)",No,Not reported,"Age, sex, blood cell composition"
A. J. Edmondson-Stait; X. Shen; M. J. Adams; M. C. Barbu; H. J. Jones; V. E. Miron; J. Allardyce; J. P. Boardman; S. M. Lawrie; A. M. McIntosh; G. M. Khandaker; A. S. F. Kwong; H. C. Whalley,2022.0,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,10.1016/j.bbih.2022.100528,"['C-reactive protein', 'IL6']",Biological markers,4.0,"[np.float64(7.0), np.float64(35.0)]",Pre-established MPS,"[np.float64(672.0), np.float64(721.0), np.float64(683.0), np.float64(732.0)]",,,Population-based,"['Birth', 'Mid childhood']","['Cord blood', 'Peripheral blood']",450K,European,Journal Article,Brain Behav Immun Health,,,,,,,No,No,"['Reported | Correlation | r = 0.042; p = 0.275', 'Reported | Correlation | r = 0.073; p = 0.050', 'Reported | Correlation | r = 0.101; p = 0.009', 'Reported | Correlation | r = -0.004; p = 0.920']",No,No missings,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates"
K. Xu; S. Li; T. P. Whitehead; P. Pandey; A. Y. Kang; L. M. Morimoto; S. C. Kogan; C. Metayer; J. L. Wiemels; A. J. de Smith,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,10.1158/1055-9965.Epi-21-0009,Maternal smoking,Lifestyle and environment,2.0,"[np.float64(26.0), np.float64(28.0)]",Pre-established MPS,482.0,,,Cohort study,Birth,Dried bloodspot,"['EPICv1', '450K']",Mixed,Journal Article,Cancer Epidemiol Biomarkers Prev,,,,,,,No,No,"['Reported | Correlation | r = 0.11', 'Reported | Correlation | r = 0.17']",No,"['Common CpGs, complete case analyses', 'Complete case analyses']",cell type heterogeneity using principal components (PCs) and genetic ancestry using PCs
K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,10.1186/s13148-024-01701-2,"['ADAMTS', 'Adiponectin', 'Afamin', 'Alpha-L-iduronidase', 'Aminoacylase-1', 'Beta-2-microglobulin', 'BMP1', 'CCL11', 'CCL17', 'CCL18', 'CCL21', 'CCL22', 'CCL25', 'CD163', 'CD209', 'CD48', 'CD5', 'CD6', 'CHIT1', 'Coagulation factor VII', 'Complement C4', 'Complement C5a', 'Complement C9', 'Contactin-4', 'CRTAM', 'CXCL10', 'CXCL11', 'CXCL9', 'Ectodysplasin-A', 'ENPP7', 'E-selectin', 'ESM-1', 'Ezrin', 'FAP', 'FCER2', 'FCGR3B', 'FcRL2', 'FGF21', 'Galectin-4', 'GCSF', 'GDF8', 'GHR', 'GPIba', 'Granulysin', 'Granzyme A', 'HCII', 'HGF', 'HGFA', 'HGFI', 'ICAM5', 'IGFBP1', 'IGFBP4', 'IL19', 'Insulin receptor', 'Lactotransferrin', 'LGALS3BP', 'L-selectin', 'LY9', 'Lymphotoxin', 'MIA', 'MMP1', 'MMP12', 'MMP9', 'MRC2', 'Myeloperoxidase', 'NCAM1', 'NCDase', 'Neprilysin', 'NMNAT1', 'NOTCH1', 'NTRK3', 'Oncostatin-M', 'Osteomodulin', 'Pappalysin-1', 'PIGR', 'RARRES2', 'Resistin', 'S100A12', 'S100A9', 'SCGF alpha', 'SCGF beta', 'Semaphorin-3E', 'SERPINA3', 'SHBG', 'Sialoadhesin', 'SKR3', 'SLITRK5', 'SMPD1', 'Stanniocalcin-1', 'Testican-2', 'TGF alpha', 'Thrombopoietin receptor', 'Thrombospondin-2', 'TNFRSF17', 'TNFRSF1B', 'Trypsin-2', 'Tryptase beta-2', 'VCAM1', 'VEGFA', 'WFIKKN2', 'GDF15', 'NTproBNP', 'C-reactive protein', 'IL6']",Biological markers,104.0,"[np.float64(51.0), np.float64(39.0), np.float64(37.0), np.float64(67.0), np.float64(395.0), np.float64(311.0), np.float64(45.0), np.float64(364.0), np.float64(119.0), np.float64(98.0), np.float64(36.0), np.float64(59.0), np.float64(151.0), np.float64(163.0), np.float64(17.0), np.float64(127.0), np.float64(41.0), np.float64(111.0), np.float64(26.0), np.float64(263.0), np.float64(109.0), np.float64(64.0), np.float64(196.0), np.float64(176.0), np.float64(56.0), np.float64(10.0), np.float64(156.0), np.float64(126.0), np.float64(55.0), np.float64(32.0), np.float64(74.0), np.float64(102.0), np.float64(38.0), np.float64(103.0), np.float64(58.0), np.float64(79.0), np.float64(29.0), np.float64(108.0), np.float64(179.0), np.float64(52.0), np.float64(13.0), np.float64(72.0), np.float64(20.0), np.float64(132.0), np.float64(120.0), np.float64(81.0), np.float64(186.0), np.float64(99.0), np.float64(124.0), np.float64(69.0), np.float64(34.0), np.float64(257.0), np.float64(96.0), np.float64(35.0), np.float64(121.0), np.float64(50.0), np.float64(44.0), np.float64(33.0), np.float64(118.0), np.float64(125.0), np.float64(180.0), np.float64(27.0), np.float64(117.0), np.float64(21.0), np.float64(82.0), np.float64(107.0), np.float64(258.0), np.float64(68.0), np.float64(28.0), np.float64(161.0), np.float64(110.0), np.float64(61.0), np.float64(62.0), np.float64(100.0), np.float64(183.0), np.float64(83.0), np.float64(25.0), np.float64(106.0), np.float64(159.0), np.float64(66.0), np.float64(1413.0), np.float64(1619.0), np.float64(7.0)]",Pre-established MPS,332.0,,,Cohort study,Birth,Saliva,EPICv1,White,Journal Article,Clin Epigenetics,,,,,,,No,No,Not assessed,No,Not reported,"age at sample, birthweight z-score, sex, and methylation processing batch"
K. Karimi; D. Weis; I. Aukrust; T. C. Hsieh; M. Horackova; J. Paulsen; R. Mendoza Londono; L. Dupuis; M. Dickson; H. Lesman; T. Lau; D. Murphy; K. Hama Salih; B. M. S. Al-Musawi; R. G. Y. Al-Obaidi; M. Rydzanicz; M. Biela; M. S. Santos; A. Aldeeri; H. T. Gazda; L. Pais; S. Shril; H. Dollner; S. Bartakke; F. Laccone; A. Soltysova; T. Kitzler; N. A. Soliman; R. Relator; M. A. Levy; J. Kerkhof; J. Rzasa; H. Houlden; G. V. Pilshofer; T. Jobst-Schwan; F. Hildebrandt; S. B. Sousa; R. Maroofian; T. W. Yu; P. Krawitz; B. Sadikovic; S. Douzgou Houge,2024.0,Epigenomic and phenotypic characterization of DEGCAGS syndrome,,DEGCAGS syndrome,Genetic syndromes,1.0,200.0,Raw (individual-level) data,72.0,9.0,63.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Eur J Hum Genet,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 200,,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | Full specificity and sensitivity ,No,Not reported,Cell type
L. van der Laan; K. Rooney; M. Alders; R. Relator; H. McConkey; J. Kerkhof; M. A. Levy; P. Lauffer; M. Aerden; M. Theunis; E. Legius; M. L. Tedder; L. E. L. M. Vissers; S. Koene; C. Ruivenkamp; M. J. V. Hoffer; D. Wieczorek; N. C. Bramswig; T. Herget; V. L. González; F. Santos-Simarro; P. M. Tørring; A. S. Denomme-Pichon; B. Isidor; B. Keren; S. Julia; E. Schaefer; C. Francannet; P. Y. Maillard; M. Misra-Isrie; H. Van Esch; M. M. A. M. Mannens; B. Sadikovic; M. M. van Haelst; P. Henneman,2022.0,Episignature Mapping of TRIP12 Provides Functional Insight into Clark–Baraitser Syndrome,10.3390/ijms232213664,Clark–Baraitser Syndrome,Genetic syndromes,1.0,105.0,Raw (individual-level) data,192.0,32.0,160.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Int J Mol Sci,Association DNAm phenotype | P-value | top-ranking 900-1000,Association DNAm phenotype | P-value | top-ranking 900-1000,Association DNAm phenotype | AUC | top-ranking 300-500,Pruning | Pairwise correlation | < 0.60,,Machine learning | Support vector machine,Train/test split: 69/31% | Leave-25%-out cross-validation,Yes (unclear how many),Not reported,No,Not reported,Cell type
K. Oexle; M. Zech; L. G. Stühn; S. Siegert; T. Brunet; W. M. Schmidt; M. Wagner; A. Schmidt; H. Engels; E. Tilch; O. Monestier; A. Destr?e; B. Hanker; S. Boesch; R. Jech; R. Berutti; F. Kaiser; B. Haslinger; T. B. Haack; B. Garavaglia; P. Krawitz; J. Winkelmann; N. Mirza-Schreiber,2023.0,Episignature analysis of moderate effects and mosaics,10.1038/s41431-023-01406-9,"['KDM2B-related neurodevelopmental disorder', 'KMT2D']",Genetic syndromes,2.0,"[np.float64(144.0), np.float64(68.0)]",Raw (individual-level) data,268.0,"[np.float64(35.0), np.float64(20.0)]","[np.float64(233.0), np.float64(248.0)]",Case control,Childhood and adolescence,Leukocytes,EPICv1,Not reported,Journal Article,Eur J Hum Genet,Association DNAm phenotype | P-value | p < 5e-8,Association DNAm phenotype | Actual change in methylation | > 0.4,,,,Machine learning | Support vector machine,"['Train/test split: 65/35% | 10-fold cross-validation', 'Train/test split: 75/25% | 10-fold cross-validation']",No,Not reported,No,No,"sex, age, and Houseman-estimates of white blood cells"
E. Aref-Eshghi; J. Kerkhof; V. P. Pedro,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,"['ADNP-1 syndrome', 'ADNP-2 syndrome', 'AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM)', 'BAFopathy syndrome: Coffin-Siris 1 (CSS1)', 'BAFopathy syndrome: Coffin-Siris 3 (CSS3)', 'BAFopathy syndrome: Coffin-Siris 4 (CSS4)', 'BAFopathy syndrome: Nicolaides–Baraitser (NCBRS)', 'Börjeson-Forssman-Lehmann syndrome (BFLS)', 'CHARGE syndrome', 'Claes-Jensen syndrome', 'Cornelia de Lange syndrome 1 (CdLS)', 'Cornelia de Lange syndrome 2 (CdLS)', 'Cornelia de Lange syndrome 3 (CdLS)', 'Cornelia de Lange syndrome 4 (CdLS)', 'Down syndrome', 'Dup7 syndrome', 'Epileptic encephalopathy, childhood-onset (EEOC)', 'Floating Harbor syndrome (FLHS)', 'Genitopatellar syndrome (GTPTS)', 'Hunter McAlpine syndrome (HMA)', 'ICF1 syndrome', 'ICF2 syndrome', 'ICF3 syndrome', 'ICF4 syndrome', 'Intellectual developmental disorder, autosomal dominant 51 (MRD51)', 'Intellectual developmental disorder, X-linked 93 (MRX93)', 'Intellectual developmental disorder, X-linked 97 (MRX97)', 'Intellectual developmental disorder, X-linked syndromic, Nascimento-type (MRXSN)', 'Intellectual developmental disorder, X-linked, Snyder-Robinson type (MRXSSR)', 'Kabuki syndrome', 'Kabuki2 syndrome', 'Kleefstra syndrome (Kleefstra)', 'Koolen de Vreis syndrome (KDVS)', 'Ohdo syndrome, SBBYSS variant (SBBYSS)', 'Rahman syndrome (RMNS)', 'Rubinstein-Taybi syndrome 1 (RSTS1)', 'Rubinstein-Taybi syndrome 2 (RSTS2)', 'SETD1B-related syndrome', 'Sotos syndrome', 'Tatton–Brown–Rahman syndrome (TBRS)', 'Wiedemann-Steiner syndrome (WDSTS)', 'Williams–Beuren deletion syndrome (WBS)', 'X-linked alpha-thalassemia/mental retardation syndrome (ATRX)']",Genetic syndromes,44.0,"[np.float64(105.0), np.float64(109.0), np.float64(103.0), np.float64(140.0), np.float64(117.0), np.float64(148.0), np.float64(127.0), np.float64(128.0), np.float64(124.0), np.float64(85.0), np.float64(111.0), np.float64(99.0), np.float64(106.0), np.float64(113.0), np.float64(95.0), np.float64(69.0), np.float64(110.0), np.float64(125.0), np.float64(142.0), np.float64(153.0), np.float64(107.0), np.float64(136.0), np.float64(114.0), np.float64(139.0), np.float64(91.0), np.float64(112.0), np.float64(104.0), np.float64(82.0), np.float64(101.0)]",Raw (individual-level) data,"[np.float64(768.0), np.float64(762.0), np.float64(754.0), np.float64(889.0), np.float64(753.0), np.float64(809.0), np.float64(783.0), np.float64(790.0), np.float64(788.0), np.float64(759.0), np.float64(769.0), np.float64(757.0), np.float64(756.0), np.float64(766.0), np.float64(752.0), np.float64(836.0), np.float64(755.0), np.float64(811.0), np.float64(763.0), np.float64(765.0), np.float64(770.0), np.float64(767.0)]","[np.float64(19.0), np.float64(13.0), np.float64(5.0), np.float64(140.0), np.float64(4.0), np.float64(60.0), np.float64(34.0), np.float64(41.0), np.float64(39.0), np.float64(10.0), np.float64(20.0), np.float64(8.0), np.float64(7.0), np.float64(17.0), np.float64(3.0), np.float64(87.0), np.float64(6.0), np.float64(62.0), np.float64(14.0), np.float64(16.0), np.float64(21.0), np.float64(18.0)]",749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Journal Article,The American Journal of …,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,Yes (n = 965),"['Not reported', 'Reported | Specifivity/sensitivity = 100%']",No,No,"Cell type, 10 PCs"
E. Tang; J. K. Wiencke; G. Warrier; H. Hansen; L. McCoy; T. Rice; P. M. Bracci; M. Wrensch; J. W. Taylor; J. L. Clarke; D. C. Koestler; L. A. Salas; B. C. Christensen; K. T. Kelsey; A. M. Molinaro,2022.0,Evaluation of cross-platform compatibility of a DNA methylation-based glucocorticoid response biomarker,1868-7083,"['Neutrophil dexamethasone methylation index (NDMI 450)', 'Neutrophil dexamethasone methylation index (NDMI 850)']",Biological markers,2.0,"[np.float64(22.0), np.float64(28.0)]",Raw (individual-level) data,"[np.float64(177.0), np.float64(326.0)]","[np.float64(57.0), np.float64(165.0)]","[np.float64(120.0), np.float64(161.0)]",Case control,Birth,Cord blood,"['450K', 'EPICv1']",Not reported,Journal Article,Clin Epigenetics,Reproducibility | Tissue | Neutrophil specific,Association DNAm phenotype | P-value | p < .01,,,,Penalized regression | Elastic net,No,Yes (this is test set_,Not assessed,No,Reported | No imputation,No
A. Ciolfi; E. Aref-Eshghi; S. Pizzi; L. Pedace; E. Miele; J. Kerkhof; E. Flex; S. Martinelli; F. C. Radio; C. A. L. Ruivenkamp; G. W. E. Santen; E. Bijlsma; D. Barge-Schaapveld; K. Ounap; V. M. Siu; R. F. Kooy; B. Dallapiccola; B. Sadikovic; M. Tartaglia,2020.0,Frameshift mutations at the C-terminus of HIST1H1E result in a specific DNA hypomethylation signature,10.1186/s13148-019-0804-0,Rahman syndrome (RMNS),Genetic syndromes,1.0,9553.0,Raw (individual-level) data,66.0,6.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Clin Epigenetics,Association DNAm phenotype | P-value | FDR < .01,Association DNAm phenotype | Actual change in methylation | > 10%,Reproducibility | Array,,,Machine learning | Random forest,10-fold cross-validation,Yes (n =  1678 + 6 + 502 + 453),Not reported,No,No,Cell type
E. G. Bend; E. Aref-Eshghi; D. B. Everman; R. C. Rogers; S. S. Cathey; E. J. Prijoles; M. J. Lyons; H. Davis; K. Clarkson; K. W. Gripp; D. Li; E. Bhoj; E. Zackai; P. Mark; H. Hakonarson; L. A. Demmer; M. A. Levy; J. Kerkhof; A. Stuart; D. Rodenhiser; M. J. Friez; R. E. Stevenson; C. E. Schwartz; B. Sadikovic,2019.0,Gene domain-specific DNA methylation episignatures highlight distinct molecular entities of ADNP syndrome,10.1186/s13148-019-0658-5,"['ADNP-1 syndrome', 'ADNP-2 syndrome']",Genetic syndromes,2.0,163.0,Raw (individual-level) data,55.0,11.0,44.0,Case control,"['Childhood and adolescence', 'Early childhood']",Peripheral blood,EPICv1,Not reported,Journal Article,Clin Epigenetics,Association DNAm phenotype | P-value | FDR < .01,Reproducibility | Array,Association DNAm phenotype | Actual change in methylation | > 10%,Association DNAm phenotype | AUC | = 1.00,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,No,Reported | Specifivity/sensitivity = 100%,No,No,Cell type
B. Hu; J. Cha; J. M. Fullerton; S. Hesam-Shariati; K. Nakamura; J. I. Nurnberger; A. Anand,2022.0,Genetic and environment effects on structural neuroimaging endophenotype for bipolar disorder: a novel molecular approach,10.1038/s41398-022-01892-3,Bipolar disorder,Neuro-psychiatric health indicators,1.0,36.0,Raw (individual-level) data,119.0,55.0,64.0,Case control,Adolescence,Peripheral blood,EPICv1,Mixed,Journal Article,Transl Psychiatry,Association DNAm phenotype | P-value | ?,,,,,Penalized regression | Elastic net,No,No,"Reported | T-test | −0.873 [−1.229, −0.574] vs 0.635 [0.456, 0.892], p < .001",No,Not reported,"age, age2 , gender, race, and smoking status"
"Pishva, E., van den Hove, D. L., Laroche, V., Lvovs, A., Roy, A., Ortega, G., ... & Harro, J.",2023.0,Genome-wide DNA methylation analysis of aggressive behaviour: a longitudinal population-based study,10.1111/jcpp.13782,Life history of agression,Neuro-psychiatric health indicators,1.0,72.0,Raw (individual-level) data,95.0,37.0,58.0,Case control,Adolescence,Whole blood,EPICv1,European,Journal Article,The Journal of Child Psychology and Psychiatry,Association DNAm phenotype | P-value | top-ranking 500,,,,,Penalized regression | Elastic net,Train/test split: 60/40%,No,"Reported | AUC =  0.89 [CI = 0.77-1.00]; 87% sensitivity, 83% specificity",No,Not reported,cell type
"El‐Zein, M., Cheishvili, D., Gotlieb, W., Gilbert, L., Hemmings, R., Behr, M. A., ... & MARKER Study Group",2020.0,Genome-wide DNA methylation profiling identifies two novel genes in cervical neoplasia,10.1002/ijc.32880,Cervical neoplasma,Cancer,1.0,2.0,Raw (individual-level) data,186.0,124.0,62.0,Case control,Birth,Cervical cells,EPICv1,European,Journal Article,International journal of cancer,Association DNAm phenotype | Actual change in methylation | > 10%,Association DNAm phenotype | Effect size | D > 1.3,"Association DNAm phenotype | Actual change in methylation | > 0 (=""hypermethylation"")",Association DNAm phenotype | Effect size | r >.4 (with lesion progression),,Penalized regression | ?,No,Yes (n = 258),"Reported | Correlation | r = 0.55, p-value = 5.8 × 10−16",No,Not reported,Batch
B. Xiao; W. Dai; Y. Zhan; W. Qiu; H. Zhang; D. Liu; N. Xu; Y. Yu,2024.0,Genome-wide epigenetic signatures facilitated the variant classification of the PURA gene and uncovered the pathomechanism of PURA-related neurodevelopmental disorders,10.1016/j.gim.2024.101167,PURA-related neurodevelopmental disorder,Genetic syndromes,1.0,480.0,Raw (individual-level) data,39.0,12.0,26.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Genet Med,Association DNAm phenotype | P-value | p < .05,Association DNAm phenotype | Actual change in methylation | > 10%,Association DNAm phenotype | AUC | > .98,,,Machine learning | Support vector machine,Train/test split: 60/40% | leave-one-out cross-validation,"Yes (n=5,n=7,n=31,n=8)","Reported | 100% specifivity, 100% sensitivity ",No,Not reported,Not reported
E. Aref-Eshghi; D. I. Rodenhiser; L. C. Schenkel; H. Lin; C. Skinner; P. Ainsworth; G. Paré; R. L. Hood; D. E. Bulman; K. D. Kernohan; K. M. Boycott; P. M. Campeau; C. Schwartz; B. Sadikovic,2018.0,Genomic DNA Methylation Signatures Enable Concurrent Diagnosis and Clinical Genetic Variant Classification in Neurodevelopmental Syndromes,"['10.1016/j.ajhg.2017.12.008', '10.1016/j.ajhg.2017.12.015', '10.1016/j.ajhg.2017.12.014', '10.1016/j.ajhg.2017.12.013', '10.1016/j.ajhg.2017.12.012', '10.1016/j.ajhg.2017.12.011', '10.1016/j.ajhg.2017.12.009', '10.1016/j.ajhg.2017.12.016']","['Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN)', 'CHARGE syndrome', 'Claes-Jensen syndrome', 'Floating Harbor syndrome (FLHS)', 'Genitopatellar syndrome (GTPTS)', 'Kabuki syndrome', 'Sotos syndrome', 'X-linked alpha-thalassemia/mental retardation syndrome (ATRX)']",Genetic syndromes,8.0,929.0,Raw (individual-level) data,"[np.float64(25.0), np.float64(235.0), np.float64(42.0), np.float64(69.0), np.float64(23.0), np.float64(176.0), np.float64(150.0), np.float64(79.0)]","[np.float64(5.0), np.float64(79.0), np.float64(10.0), np.float64(17.0), np.float64(3.0), np.float64(44.0), np.float64(38.0), np.float64(19.0)]","[np.float64(20.0), np.float64(156.0), np.float64(32.0), np.float64(52.0), np.float64(132.0), np.float64(112.0), np.float64(60.0)]",Case control,"['Not reported', 'Childhood and adolescence']",Peripheral blood,"['450K', 'EPICv1']",Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | Actual change in methylation | > 10-20%,Association DNAm phenotype | P-value | p < .01,Association DNAm phenotype | AUC | > .80,Pruning | R-squared | 0.80,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,Yes (n = 176),Reported | Specifivity/sensitivity = 100%,No,No,Cell type
V. Euclydes; C. Gomes; G. Gouveia; V. D. Gastaldi; A. S. Feltrin; C. Camilo; R. P. Vieira; A. Felipe-Silva; S. Grisi; G. Fink; A. Brentani; H. Brentani,2022.0,Gestational age acceleration is associated with epigenetic biomarkers of prenatal physiologic stress exposure,10.1186/s13148-022-01374-9,C-reactive protein,Biological markers,1.0,7.0,Pre-established MPS,83.0,,,Cohort study,Birth,Cord blood,450K,Hispanic,Journal Article,Clin Epigenetics,,,,,,,No,No,Not assessed,No,Not reported,Cell type
N. Provencal; J. Arloth; A. Cattaneo; C. Anacker; N. Cattane; T. Wiechmann; S. Roh; M. Kodel; T. Klengel; D. Czamara; N. S. Muller; J. Lahti; K. Raikkonen; C. M. Pariante; E. B. Binder,2020.0,Glucocorticoid exposure during hippocampal neurogenesis primes future stress response by inducing changes in DNA methylation,10.1073/pnas.1820842116,Glucocorticoid ,Lifestyle and environment,1.0,24.0,Raw (individual-level) data,930.0,,,Population-based,Birth,"Multiple (Whole blood, HPCs)",450K,European,Journal Article,Proc Natl Acad Sci U S A,Association DNAm phenotype | P-value | FDR < .1 ,Association DNAm phenotype | P-value | FDR < .01,Association DNAm phenotype | Actual change in methylation | > 2%,Reproducibility | Tissue | Present in both HPC and whole blood,,Penalized regression | Elastic net,Cross-validation | ?,"Yes | CpG inclusion based in MPIP (n = 113), weights determined in (n = 817)","Reported | Linear regression | β = −0.0039, SE = 0.019, P = 0.84 (internal!)",No,Not reported,"HPC: SVs; Whole blood: subject id as random factor and blood cell counts, age, gender, case-control status and BMI as fixed factor; DNAm eventual score residualized for gender, age, case-control status, bmi and blood cell counts"
K. Karimi; M. O. Mol; S. Haghshenas; R. Relator; M. A. Levy; J. Kerkhof; H. McConkey; A. Brooks; E. Zonneveld-Huijssoon; E. H. Gerkes; M. L. Tedder; L. Vissers; E. Salzano; M. Piccione; S. D. Asaftei; D. Carli; A. Mussa; E. Shukarova-Angelovska; S. Trajkova; A. Brusco; G. Merla; M. M. Alders; A. Bouman; B. Sadikovic,2024.0,"Identification of DNA methylation episignature for the intellectual developmental disorder, autosomal dominant 21 syndrome, caused by variants in the CTCF gene",10.1016/j.gim.2023.101041,"Intellectual developmental disorder, autosomal dominant 21 (MRD21)",Genetic syndromes,1.0,226.0,Raw (individual-level) data,72.0,12.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 400,Pruning | Pairwise correlation | < 0.95,,Machine learning | Support vector machine,4-fold cross-validation,No,Not reported,No,Not reported,Cell type
K. Rooney; M. A. Levy; S. Haghshenas; J. Kerkhof; D. Rogaia; M. G. Tedesco; V. Imperatore; A. Mencarelli; G. M. Squeo; E. Di Venere; G. Di Cara; A. Verrotti; G. Merla; M. L. Tedder; B. R. DuPont; B. Sadikovic; P. Prontera,2021.0,Identification of a DNA Methylation Episignature in the 22q11.2 Deletion Syndrome,10.3390/ijms22168611,22q11.2 deletion syndrome,Genetic syndromes,1.0,160.0,Raw (individual-level) data,,49.0,,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,International Journal of Molecular Sciences,Association DNAm phenotype | P-value | top-ranking 900,Association DNAm phenotype | P-value | top-ranking 900,Association DNAm phenotype | AUC | top-ranking 450,Pruning | Pairwise correlation | < 0.60,,Machine learning | Support vector machine,4-fold cross-validation,Yes (n=1000),Not reported,No,No,Cell type
