Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Allergy,"Multiple (Allergy, Asthma, Asthma and rihinitis)",Physical health indicators,Physical health indicators,van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,3.0,,Published summary statistics (semi-supervised),1291.0,,,,,,Population-based,,Adolescence,Multiple (Birth to Adolescence),Nasal epithelial cells,"Multiple (Whole blood, Nasal epithelial cells)",450K,450K,Mixed,"Multiple (European, Mixed)",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Penalized regression | Elastic net,,Train/test split: 80/20%,,Yes,,Reported | AUC | Internal AUC = 0.835,,Yes,,Complete cases and common CpGs,,Not reported,"Multiple (sex, cohort, and technical covariables, maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.,  age, sex, batch, study center, and surrogate variables)",Yes,
Allergy,"Multiple (Allergy, Asthma, Asthma and rihinitis)",Physical health indicators,Physical health indicators,van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1292.0,,,,,,Population-based,,Adolescence,Multiple (Birth to Adolescence),Nasal epithelial cells,"Multiple (Whole blood, Nasal epithelial cells)",450K,450K,Mixed,"Multiple (European, Mixed)",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Naive bayes,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.72,,Yes,,Complete cases and common CpGs,,Not reported,"Multiple (sex, cohort, and technical covariables, maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.,  age, sex, batch, study center, and surrogate variables)",Yes,
Allergy,"Multiple (Allergy, Asthma, Asthma and rihinitis)",Physical health indicators,Physical health indicators,van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1293.0,,,,,,Population-based,,Adolescence,Multiple (Birth to Adolescence),Nasal epithelial cells,"Multiple (Whole blood, Nasal epithelial cells)",450K,450K,Mixed,"Multiple (European, Mixed)",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Neural network,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.73,,Yes,,Complete cases and common CpGs,,Not reported,"Multiple (sex, cohort, and technical covariables, maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.,  age, sex, batch, study center, and surrogate variables)",Yes,
Allergy,"Multiple (Allergy, Asthma, Asthma and rihinitis)",Physical health indicators,Physical health indicators,van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1294.0,,,,,,Population-based,,Adolescence,Multiple (Birth to Adolescence),Nasal epithelial cells,"Multiple (Whole blood, Nasal epithelial cells)",450K,450K,Mixed,"Multiple (European, Mixed)",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Random forest,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.838,,Yes,,Complete cases and common CpGs,,Not reported,"Multiple (sex, cohort, and technical covariables, maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.,  age, sex, batch, study center, and surrogate variables)",Yes,
Allergy,"Multiple (Allergy, Asthma, Asthma and rihinitis)",Physical health indicators,Physical health indicators,van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1295.0,,,,,,Population-based,,Adolescence,Multiple (Birth to Adolescence),Nasal epithelial cells,"Multiple (Whole blood, Nasal epithelial cells)",450K,450K,Mixed,"Multiple (European, Mixed)",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Support vector machine,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.799,,Yes,,Complete cases and common CpGs,,Not reported,"Multiple (sex, cohort, and technical covariables, maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.,  age, sex, batch, study center, and surrogate variables)",Yes,
Allergy,"Multiple (Allergy, Asthma, Asthma and rihinitis)",Physical health indicators,Physical health indicators,van Breugel et al.,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1296.0,,,,,,Population-based,,Adolescence,Multiple (Birth to Adolescence),Nasal epithelial cells,"Multiple (Whole blood, Nasal epithelial cells)",450K,450K,Mixed,"Multiple (European, Mixed)",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Gradient boosting machine,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.826,,Yes,,Complete cases and common CpGs,,Not reported,"Multiple (sex, cohort, and technical covariables, maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.,  age, sex, batch, study center, and surrogate variables)",Yes,
CCL11,CCL11,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,45.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = -0.034,  p = 0.62","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL25,CCL25,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,59.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = -0.023,  p = 0.73","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CD6,CD6,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,41.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.51,  p = 0.45","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CXCL10,CXCL10,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.086,  p = 0.2","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CXCL10,CXCL10,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.11,  p = 0.11","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CXCL11,CXCL11,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.022,  p = 0.74","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CXCL11,CXCL11,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.11,  p = 0.11","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CXCL9,CXCL9,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,56.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.11,  p = 0.11","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
FGF21,FGF21,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,103.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.056,  p = 0.4","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
HGF,HGF,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,72.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.056,  p = 0.4","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
MMP1,MMP1,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,34.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.13,  p = 0.055","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
MMP1,MMP1,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,34.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.074,  p = 0.27","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Oncostatin-M,Oncostatin-M,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,125.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.81,  p = 0.23","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
VEGFA,VEGFA,Biological markers,Biological markers,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,,159.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.096,  p = 0.15","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,26.0,28.0,Pre-established MPS,482.0,1278.0,,168.0,,110.0,Cohort study,Population-based,Birth,Birth,Dried bloodspot,Cord blood,EPICv1,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,Reported | Correlation | r = 0.11,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",No,Yes,"Common CpGs, complete case analyses",Not reported,cell type heterogeneity using principal components (PCs) and genetic ancestry using PCs,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,28.0,28.0,Pre-established MPS,482.0,1278.0,,168.0,,110.0,Cohort study,Population-based,Birth,Birth,Dried bloodspot,Cord blood,450K,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,Reported | Correlation | r = 0.17,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",No,Yes,Complete case analyses,Not reported,cell type heterogeneity using principal components (PCs) and genetic ancestry using PCs,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,551.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | bonferroni < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",Yes,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,62.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | bonferroni < .05,,Biological relevance | Functional annotation | Grouped to genes,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",Yes,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,5643.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression | b = 0.28, 95% CI 0.21-0.35",,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",Yes,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,405.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | FDR < .05,,Biological relevance | Functional annotation | Grouped to genes,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression | b = 0.02, 95% CI 0.02-0.03",,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",Yes,
Cognitive functioning,Cognitive functioning,Neuro-psychiatric health indicators,Neuro-psychiatric health indicators,deSteiguer et al.,2025.0,Stability of Aging- and Cognition-Related Methylation Profile Scores Across Two Waves in Children and Adolescents,764525.0,764525.0,Pre-established MPS,407.0,9162.0,,,,,Twin study,Population-based,Late childhood,Adulthood,Saliva,Whole blood,EPICv1,450K,Mixed,European,,,,,,,,,,,,Discovery EWAS | Linear mixed model,No,,No,Yes (n=844 and n=427),Not reported,Reported |  correlation was3.4% (P=2.0x10-8) in LBC1936 and 4.5% (P=9.9x10-6) in LBC1921,No,No,Not reported,Mean imputed,"array, slide, batch, cell composition","age, sex, BMI and an epigenetic smoking score. The DNA methylation data were corrected for batch, age, sex and epigenetic smoking, which all have pervasive effects on DNAm levels.",No,
Glucocorticoid ,Glucocorticoid ,Lifestyle and environment,Lifestyle and environment,Appleton,2025.0,A polyepigenetic glucocorticoid exposure score and HPA axis-related DNA methylation are associated with gestational epigenetic aging,24.0,24.0,Pre-established MPS,200.0,930.0,,,,,Cohort study,Population-based,Birth,Birth,Cord blood,"Multiple (Whole blood, HPCs)",EPICv1,450K,Mixed,European,,Association DNAm phenotype | P-value | FDR < .1 ,,Association DNAm phenotype | P-value | FDR < .01,,Association DNAm phenotype | Actual change in methylation | > 2%,,Reproducibility | Tissue | Present in both HPC and whole blood,,,,Penalized regression | Elastic net,No,Cross-validation | ?,No,"Yes | CpG inclusion based in MPIP (n = 113), weights determined in (n = 817)",Not assessed,"Reported | Linear regression | β = −0.0039, SE = 0.019, P = 0.84 (internal!)",No,No,Not reported,Not reported,"All multivariable models were adjusted for maternal age, race/ethnicity (White/non-Hispanic vs. other), and education level (≤ high school vs. > high school), as well as maternal health and behavioral factors including pre-pregnancy BMI, parity (nulliparous vs. not), pregnancy complications (index of conditions such as gestational diabetes and preeclampsia), smoking during pregnancy (yes/no), depressive symptoms (Edinburgh Postnatal Depression Scale score), and dietary patterns (Western diet score). In addition, infant sex was included as a covariate in the full-sample models (but not in sex-stratified analyses). Finally, all models controlled for estimated cell type proportions in umbilical cord blood, including B cells, CD4+ T cells, CD8+ T cells, granulocytes, monocytes, natural killer (NK) cells, and nucleated red blood cells (nRBCs).","HPC: SVs; Whole blood: subject id as random factor and blood cell counts, age, gender, case-control status and BMI as fixed factor; DNAm eventual score residualized for gender, age, case-control status, bmi and blood cell counts",No,
Glucocorticoid ,Glucocorticoid ,Lifestyle and environment,Lifestyle and environment,Creasey et al.,2025.0,"Prenatal stress, epigenetically-assessed glucocorticoid exposure at birth, and child psychiatric symptoms: A prospective, multi-cohort study",24.0,24.0,Pre-established MPS,6086.0,930.0,,,,,Population-based,Population-based,Birth,Birth,Cord blood,"Multiple (Whole blood, HPCs)","Multiple (450K, EPICv1)",450K,European,European,,Association DNAm phenotype | P-value | FDR < .1 ,,Association DNAm phenotype | P-value | FDR < .01,,Association DNAm phenotype | Actual change in methylation | > 2%,,Reproducibility | Tissue | Present in both HPC and whole blood,,,,Penalized regression | Elastic net,No,Cross-validation | ?,No,"Yes | CpG inclusion based in MPIP (n = 113), weights determined in (n = 817)",Not assessed,"Reported | Linear regression | β = −0.0039, SE = 0.019, P = 0.84 (internal!)",No,No,Not reported,Not reported,"Child sex, maternal smoking in pregnancy, estimated cell types, genetic PCs (4), batch effects (plate/surrogates), birthweight/gestational age (sensitivity)","HPC: SVs; Whole blood: subject id as random factor and blood cell counts, age, gender, case-control status and BMI as fixed factor; DNAm eventual score residualized for gender, age, case-control status, bmi and blood cell counts",No,
Kabuki syndrome,Kabuki syndrome,Genetic syndromes,Genetic syndromes,Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,153.0,153.0,Pre-established MPS,60.0,836.0,2.0,87.0,58.0,749.0,Case control,Case control,Childhood,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,Yes,No,Not reported,No,Not reported,"Cell type, 10 PCs",,
Cornelia de Lange syndrome (CdLS),Cornelia de Lange syndrome (CdLS),Genetic syndromes,Genetic syndromes,Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,128.0,128.0,Pre-established MPS,60.0,790.0,3.0,41.0,57.0,749.0,Case control,Case control,Childhood,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,Yes,No,Not reported,No,Not reported,"Cell type, 10 PCs",,
Sotos syndrome,Sotos syndrome,Genetic syndromes,Genetic syndromes,Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,112.0,112.0,Pre-established MPS,60.0,811.0,2.0,62.0,58.0,749.0,Case control,Case control,Childhood,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,Yes,No,Not reported,No,Not reported,"Cell type, 10 PCs",,
Wiedemann-Steiner syndrome (WDSTS),Wiedemann-Steiner syndrome (WDSTS),Genetic syndromes,Genetic syndromes,Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,104.0,104.0,Pre-established MPS,60.0,765.0,2.0,16.0,58.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,Yes,No,Not reported,No,Not reported,"Cell type, 10 PCs",,
